model,src_lang,tgt_lang,direction,n,accuracy_at_1,recall_at_5,recall_at_10,mrr,mean_gold_cosine,std_gold_cosine,mean_random_cosine,std_random_cosine,cosine_gap,sensitivity_midpoint,specificity_midpoint,balanced_accuracy_midpoint,model_baseline,n_baseline,accuracy_at_1_baseline,recall_at_5_baseline,recall_at_10_baseline,mrr_baseline,mean_gold_cosine_baseline,std_gold_cosine_baseline,mean_random_cosine_baseline,std_random_cosine_baseline,cosine_gap_baseline,sensitivity_midpoint_baseline,specificity_midpoint_baseline,balanced_accuracy_midpoint_baseline,delta_accuracy_at_1,delta_recall_at_5,delta_recall_at_10,delta_mrr,delta_mean_gold_cosine,delta_mean_random_cosine,delta_cosine_gap,delta_sensitivity_midpoint,delta_specificity_midpoint,delta_balanced_accuracy_midpoint
all_462_best_model,asm,ben,asm->ben,1503,0.9088489687292083,0.9700598802395209,0.9753825681969395,0.9361001745065385,0.8739862442016602,0.0877494215965271,0.36130866408348083,0.15041698515415192,0.5126775801181793,0.9813705921490352,0.9514304723885563,0.9664005322687957,labse_baseline,1503,0.9301397205588823,0.9813705921490352,0.9893546240851631,0.9523474533422677,0.8066039085388184,0.11492498219013214,0.3058384656906128,0.12717889249324799,0.5007654428482056,0.9680638722554891,0.9673985362608117,0.9677312042581504,-0.021290751829673993,-0.01131071190951427,-0.013972055888223589,-0.016247278835729184,0.0673823356628418,0.05547019839286804,0.011912137269973755,0.013306719893546148,-0.015968063872255467,-0.0013306719893546592
all_462_best_model,asm,brx,asm->brx,1503,0.31736526946107785,0.4703925482368596,0.5562208915502329,0.3983897411840421,0.663443922996521,0.12487457692623138,0.32679635286331177,0.1635049730539322,0.33664757013320923,0.906187624750499,0.8423153692614771,0.874251497005988,labse_baseline,1503,0.1596806387225549,0.281437125748503,0.3393213572854291,0.2236504002564663,0.2670396566390991,0.16642242670059204,0.09377894550561905,0.10208752006292343,0.17326071113348007,0.6533599467731205,0.8243512974051896,0.7388556220891551,0.15768463073852296,0.18895542248835662,0.2168995342648038,0.1747393409275758,0.3964042663574219,0.23301740735769272,0.16338685899972916,0.2528276779773785,0.017964071856287456,0.13539587491683291
all_462_best_model,asm,doi,asm->doi,1503,0.7385229540918163,0.8695941450432468,0.9055222887558216,0.8008919596794845,0.7861736416816711,0.11300256848335266,0.34811586141586304,0.15625812113285065,0.4380577802658081,0.9514304723885563,0.9155023286759814,0.9334664005322688,labse_baseline,1503,0.6793080505655356,0.8270126413838988,0.872255489021956,0.746926277314932,0.5947585105895996,0.17456892132759094,0.19779863953590393,0.13028262555599213,0.3969598710536957,0.8569527611443779,0.9261477045908184,0.8915502328675982,0.05921490352628078,0.042581503659347986,0.03326679973386559,0.05396568236455246,0.19141513109207153,0.1503172218799591,0.04109790921211243,0.09447771124417836,-0.010645375914837052,0.041916167664670656
all_462_best_model,asm,guj,asm->guj,1503,0.9088489687292083,0.959414504324684,0.9767132401862941,0.9337942395841641,0.8670400977134705,0.09069634974002838,0.3616296052932739,0.1512790322303772,0.5054104924201965,0.9767132401862941,0.9467731204258151,0.9617431803060545,labse_baseline,1503,0.9354624085163007,0.9773785761809713,0.9853626081170991,0.9552273938366096,0.7863742113113403,0.11741742491722107,0.30947479605674744,0.1244373768568039,0.4768994152545929,0.957418496340652,0.9640718562874252,0.9607451763140387,-0.026613439787092408,-0.017964071856287345,-0.008649367930804952,-0.02143315425244552,0.08066588640213013,0.05215480923652649,0.028511077165603638,0.019294743845642115,-0.017298735861610126,0.0009980039920158834
all_462_best_model,asm,hin,asm->hin,1503,0.9181636726546906,0.9673985362608117,0.978709248170326,0.9418509846508576,0.8636772632598877,0.08838016539812088,0.36052972078323364,0.15004931390285492,0.503147542476654,0.980705256154358,0.9441117764471058,0.9624085163007319,labse_baseline,1503,0.927478376580173,0.9773785761809713,0.9873586161011311,0.9513179936948887,0.771601140499115,0.12004456669092178,0.31528693437576294,0.12257623672485352,0.45631420612335205,0.9580838323353293,0.9600798403193613,0.9590818363273453,-0.009314703925482393,-0.009980039920159611,-0.008649367930805063,-0.009467009044031083,0.0920761227607727,0.0452427864074707,0.046833336353302,0.022621423819028652,-0.015968063872255578,0.003326679973386537
all_462_best_model,asm,kan,asm->kan,1503,0.8137059214903526,0.9088489687292083,0.9334664005322688,0.857709463966527,0.8163496255874634,0.11048746109008789,0.356860488653183,0.15267905592918396,0.4594891369342804,0.9600798403193613,0.9281437125748503,0.9441117764471059,labse_baseline,1503,0.8369926813040586,0.9281437125748503,0.9474384564204924,0.8780466190236489,0.717513382434845,0.1458239108324051,0.26694637537002563,0.13297289609909058,0.45056700706481934,0.9281437125748503,0.9347970725216235,0.9314703925482368,-0.02328675981370598,-0.019294743845642004,-0.013972055888223589,-0.02033715505712186,0.09883624315261841,0.08991411328315735,0.00892212986946106,0.031936127744511045,-0.006653359946773185,0.01264138389886904
all_462_best_model,asm,kas,asm->kas,1503,0.4431137724550898,0.6021290751829674,0.6706586826347305,0.5190470387391963,0.6976094841957092,0.12796221673488617,0.3366187512874603,0.1630181223154068,0.3609907329082489,0.9101796407185628,0.8589487691284099,0.8845642049234863,labse_baseline,1503,0.36127744510978044,0.5249500998003992,0.58416500332668,0.4401006499815765,0.394939124584198,0.1926521360874176,0.11804089695215225,0.122803695499897,0.27689822763204575,0.7571523619427811,0.8609447771124418,0.8090485695276115,0.08183632734530938,0.07717897538256824,0.08649367930805052,0.07894638875761983,0.30267035961151123,0.21857785433530807,0.08409250527620316,0.1530272787757817,-0.001996007984031878,0.0755156353958748
all_462_best_model,asm,gom,asm->gom,1503,0.7072521623419827,0.8416500332667998,0.8908848968729208,0.7703866814119237,0.7729341387748718,0.11516701430082321,0.3445521891117096,0.15527358651161194,0.42838194966316223,0.9507651363938789,0.9015302727877578,0.9261477045908184,labse_baseline,1503,0.6606786427145709,0.7977378576180971,0.8383233532934131,0.7239943344497912,0.5854130983352661,0.17686030268669128,0.18552549183368683,0.13793718814849854,0.3998876065015793,0.8602794411177644,0.9108449767132402,0.8855622089155023,0.04657351962741185,0.043912175648702645,0.05256154357950771,0.04639234696213246,0.1875210404396057,0.15902669727802277,0.028494343161582947,0.0904856952761145,-0.009314703925482393,0.04058549567531611
all_462_best_model,asm,mai,asm->mai,1503,0.7831004657351963,0.8888888888888888,0.9155023286759814,0.833391902628115,0.7981205582618713,0.1098443865776062,0.3541802763938904,0.15647071599960327,0.44394028186798096,0.959414504324684,0.906187624750499,0.9328010645375915,labse_baseline,1503,0.7744510978043913,0.8809048569527611,0.916833000665336,0.8266817420696215,0.6493164300918579,0.15363113582134247,0.23073138296604156,0.13317623734474182,0.41858504712581635,0.8995342648037259,0.9194943446440452,0.9095143047238856,0.008649367930805063,0.007984031936127733,-0.0013306719893546592,0.006710160558493494,0.14880412817001343,0.12344889342784882,0.025355234742164612,0.05988023952095811,-0.01330671989354626,0.02328675981370587
all_462_best_model,asm,mal,asm->mal,1503,0.8536260811709914,0.9367930805056554,0.9560878243512974,0.8918019661451894,0.835104763507843,0.09645486623048782,0.3575485050678253,0.15195810794830322,0.4775562584400177,0.9733865602129075,0.9367930805056554,0.9550898203592815,labse_baseline,1503,0.8795741849634066,0.9634065202927479,0.9747172322022621,0.9164886999694676,0.7580925226211548,0.12429803609848022,0.2850751578807831,0.12683308124542236,0.4730173647403717,0.9500998003992016,0.9587491683300067,0.9544244843646041,-0.02594810379241519,-0.02661343978709252,-0.018629407850964785,-0.024686733824278217,0.07701224088668823,0.07247334718704224,0.004538893699645996,0.02328675981370587,-0.021956087824351322,0.0006653359946773296
all_462_best_model,asm,mni,asm->mni,1503,0.043912175648702596,0.15103127079174983,0.19760479041916168,0.12032545455216152,0.5933360457420349,0.12393099069595337,0.341651976108551,0.17545609176158905,0.2516840696334839,0.850964737192282,0.7644710578842315,0.8077178975382568,labse_baseline,1503,0.00998003992015968,0.044577511643379905,0.06187624750499002,0.03619687899187262,0.10655361413955688,0.14065279066562653,0.034150052815675735,0.09069199115037918,0.07240356132388115,0.5069860279441117,0.7278775781769794,0.6174318030605456,0.033932135728542916,0.10645375914836992,0.13572854291417166,0.08412857556028891,0.486782431602478,0.3075019232928753,0.17928050830960274,0.3439787092481703,0.03659347970725213,0.19028609447771128
all_462_best_model,asm,mar,asm->mar,1503,0.9121756487025948,0.9627411842980705,0.9747172322022621,0.9355644205657194,0.8629717826843262,0.09157288074493408,0.3612130284309387,0.149684876203537,0.5017587542533875,0.9793745841650033,0.9461077844311377,0.9627411842980705,labse_baseline,1503,0.9221556886227545,0.9747172322022621,0.9833666001330672,0.9448569468903149,0.7880178093910217,0.1193912997841835,0.30534854531288147,0.1238555759191513,0.48266926407814026,0.9587491683300067,0.9667332002661344,0.9627411842980705,-0.009980039920159722,-0.0119760479041916,-0.008649367930805063,-0.00929252632459543,0.07495397329330444,0.05586448311805725,0.019089490175247192,0.020625415834996663,-0.020625415834996663,0.0
all_462_best_model,asm,npi,asm->npi,1503,0.9201596806387226,0.9687292082501663,0.9827012641383899,0.9434514216430199,0.8731515407562256,0.08844006061553955,0.36102181673049927,0.149113729596138,0.5121297240257263,0.9820359281437125,0.9547571523619428,0.9683965402528276,labse_baseline,1503,0.9334664005322688,0.9820359281437125,0.9893546240851631,0.9548270255620829,0.8003742098808289,0.11729717999696732,0.30405616760253906,0.12455829977989197,0.4963180422782898,0.9620758483033932,0.9647371922821024,0.9634065202927478,-0.01330671989354626,-0.01330671989354626,-0.006653359946773185,-0.011375603919063004,0.07277733087539673,0.056965649127960205,0.015811681747436523,0.019960079840319334,-0.009980039920159611,0.004990019960079861
all_462_best_model,asm,ory,asm->ory,1503,0.9048569527611444,0.9660678642714571,0.9793745841650033,0.933758648591955,0.8669637441635132,0.08634033799171448,0.35663557052612305,0.15061306953430176,0.5103281736373901,0.9853626081170991,0.9527611443779108,0.969061876247505,labse_baseline,1503,0.9281437125748503,0.9780439121756487,0.9860279441117764,0.9509136649357383,0.7933717370033264,0.1159256100654602,0.288103848695755,0.12566734850406647,0.5052678883075714,0.9680638722554891,0.9654025282767797,0.9667332002661344,-0.02328675981370587,-0.0119760479041916,-0.006653359946773074,-0.017155016343783247,0.07359200716018677,0.06853172183036804,0.005060285329818726,0.017298735861610015,-0.01264138389886893,0.0023286759813705427
all_462_best_model,asm,pan,asm->pan,1503,0.8962075848303394,0.959414504324684,0.9720558882235529,0.9260831248220093,0.8479543328285217,0.09764375537633896,0.35431423783302307,0.14916129410266876,0.49364009499549866,0.9733865602129075,0.9427811044577512,0.9580838323353293,labse_baseline,1503,0.9101796407185628,0.9707252162341983,0.9846972721224219,0.939197419897755,0.7678881883621216,0.1260221004486084,0.28604942560195923,0.12715938687324524,0.48183876276016235,0.9494344644045243,0.9620758483033932,0.9557551563539588,-0.013972055888223478,-0.01131071190951427,-0.01264138389886893,-0.013114295075745686,0.08006614446640015,0.06826481223106384,0.011801332235336304,0.0239520958083832,-0.019294743845642004,0.0023286759813705427
all_462_best_model,asm,san,asm->san,1503,0.6872920825016633,0.8223552894211577,0.8789088489687292,0.7513985498924982,0.76041179895401,0.11598264425992966,0.3484257161617279,0.15808729827404022,0.4119860827922821,0.9494344644045243,0.895542248835662,0.9224883566200932,labse_baseline,1503,0.5881570192947438,0.7584830339321357,0.812375249500998,0.6679370251563456,0.5263926982879639,0.1773090660572052,0.1724202185869217,0.13150423765182495,0.3539724797010422,0.8363273453093812,0.9041916167664671,0.8702594810379242,0.09913506320691945,0.06387225548902198,0.06653359946773119,0.08346152473615265,0.23401910066604614,0.1760054975748062,0.05801360309123993,0.11310711909514304,-0.008649367930805063,0.05222887558216904
all_462_best_model,asm,sat,asm->sat,1503,0.0332667997338656,0.1709913506320692,0.20758483033932135,0.14396057953136254,0.5969572067260742,0.13239479064941406,0.34072616696357727,0.17713908851146698,0.25623103976249695,0.83166999334664,0.7644710578842315,0.7980705256154358,labse_baseline,1503,0.011310711909514305,0.0332667997338656,0.0499001996007984,0.033359366611852424,0.10966094583272934,0.13802851736545563,0.039559029042720795,0.08596030622720718,0.07010191679000854,0.4856952761144378,0.7445109780439122,0.615103127079175,0.021956087824351295,0.1377245508982036,0.15768463073852296,0.11060121291951011,0.4872962608933449,0.3011671379208565,0.1861291229724884,0.34597471723220224,0.019960079840319334,0.18296739853626076
